track_id,track_name,track_url,track_popularity,album_id,album_name,release_date,artist_id,artist_name
4QNpBfC0zvjKqPJcyqBy9W,Give Me Everything (feat. Nayer),https://open.spotify.com/track/4QNpBfC0zvjKqPJcyqBy9W,84,4rG0MhkU6UojACJxkMHIXB,Planet Pit (Deluxe Version),2011-06-17,0TnOYISbd1XYRBk9myaseg,Pitbull
3cHyrEgdyYRjgJKSOiOtcS,Timber,https://open.spotify.com/track/3cHyrEgdyYRjgJKSOiOtcS,82,2F7tejLHzTqFq2XLol9ZGy,Global Warming: Meltdown (Deluxe Version),2012,0TnOYISbd1XYRBk9myaseg,Pitbull
2bJvI42r8EF3wxjOuDav4r,Time of Our Lives,https://open.spotify.com/track/2bJvI42r8EF3wxjOuDav4r,81,4EUf4YyNjuXypWY6W5wEDm,Globalization,2014-11-21,0TnOYISbd1XYRBk9myaseg,Pitbull
4356Typ82hUiFAynbLYbPn,DJ Got Us Fallin' In Love (feat. Pitbull),https://open.spotify.com/track/4356Typ82hUiFAynbLYbPn,81,6A1F3Fkq5dYeYYNkXflcTX,Raymond v Raymond (Expanded Edition),2010-03-30,23zg3TcAtWQy7J6upgbUnj,USHER
0Hf4aIJpsN4Os2f0y0VqWl,Feel This Moment (feat. Christina Aguilera),https://open.spotify.com/track/0Hf4aIJpsN4Os2f0y0VqWl,76,2F7tejLHzTqFq2XLol9ZGy,Global Warming: Meltdown (Deluxe Version),2012,0TnOYISbd1XYRBk9myaseg,Pitbull
62zFEHfAYl5kdHYOivj4BC,International Love (feat. Chris Brown),https://open.spotify.com/track/62zFEHfAYl5kdHYOivj4BC,77,4rG0MhkU6UojACJxkMHIXB,Planet Pit (Deluxe Version),2011-06-17,0TnOYISbd1XYRBk9myaseg,Pitbull
0OPyDgTRuIdCJ9B4bYSths,Hotel Room Service,https://open.spotify.com/track/0OPyDgTRuIdCJ9B4bYSths,70,4RaAjieYFIZRF8uh6GY43r,Pitbull Starring In Rebelution,2009-08-27,0TnOYISbd1XYRBk9myaseg,Pitbull
7r6iwgXcR85d9rfqsuf2Af,Bhool Bhulaiyaa 3 - Title Track (feat. Pitbull),https://open.spotify.com/track/7r6iwgXcR85d9rfqsuf2Af,74,7A0AEPu9sqHZpSIDI1zLEM,Bhool Bhulaiyaa 3 - Title Track (feat. Pitbull),2024-10-16,0TnOYISbd1XYRBk9myaseg,Pitbull
4Y7XAxTANhu3lmnLAzhWJW,Fireball (feat. John Ryan),https://open.spotify.com/track/4Y7XAxTANhu3lmnLAzhWJW,74,4EUf4YyNjuXypWY6W5wEDm,Globalization,2014-11-21,0TnOYISbd1XYRBk9myaseg,Pitbull
67LKV40NfSSGIJnm0xz6fi,MR. MOONDIAL,https://open.spotify.com/track/67LKV40NfSSGIJnm0xz6fi,74,3V2ApPxUSquOkjLQU3wmjh,BUENAS NOCHES,2024-11-22,52iwsT98xCoGgiGntTiR7K,Quevedo
